"list_topic_question_creators","list_topics","list_topic_question_titles","list_topic_questions","list_topic_question_timestamps"
"180.252.121.175","tfl8xwx1cgbviqqr","untuk lexus rx 350 tahun 2008, berapa pemakaian bahan bakar bensin per liter per kilometernya","untuk lexus rx 350 tahun 2008, berapa pemakaian bahan bakar bensin per liter per kilometernya","2016-11-18T18:29:25Z"
"Farenheit giataulu","tfk8xubo0igacm9u","Sejara gereja Sumatera- Batak","mau tanya, apa visi misi Nomensen datang ke Sumatera Batak.","2016-11-18T07:42:57Z"
"112.215.174.206","tfirvcx9vpfff95r","materi tentang kekerasan anak di wikepedia","mau nanya soal kekerasan terhadap anak,,daftar pustaka/sumber dari tipe terjadinya kekerasan terhadap anak itu dari mana ? mohon bantuannya","2016-11-17T15:50:01Z"
"Aidil Aqsa","tfi88n6jw12il5hq","mulai menulis","<nowiki>saya mau tulis artikel tapi tidak tau tulis nya di mana~~~~</nowiki>","2016-11-17T09:57:31Z"
"Muhammad faiz azhari","tfhbmp8a0qj71s6x","Rempeyek Yutuk","Saya sudah melakukan penyuntingan pada halaman Rempeyek Yutuk, tapi kenapa peringatan di atas halaman tersebut belum hilang?","2016-11-17T00:11:58Z"
"Dahlan Nur Busri","tfc7or2dnoc91t5v","Apa Wikipedia?","Mohon Jelaskan tugas dan maksud Wikipedia","2016-11-14T17:09:01Z"
"Hasan0807","tf9mx1tdcdbzsle5","test","Artikel pertama","2016-11-13T13:23:13Z"
"Berkah ya forman","tf9mnepkr6vhybir","SAYA INGIN BERGABUNG DENGAN WIKIPEDIA","ASSALAMUALAIKUM....  SALAM HORMAT,  Besar harapan saya bergabung dengan WIKIPEDIA.  Terima kasih atas perhatian dan waktunya.  Terima Kasih  Wassalam..","2016-11-13T13:18:24Z"
"Randy Arex","tf5b6b7hqzemljz9","cara masuk Wikipedia gimana","cara masuk Wikipedia gimana","2016-11-11T14:46:38Z"
"180.253.21.233","tf1wbkkrvkjb46k9","karakteristik dan pemanfaatan terakota","karakteristik dan pemanfaatan terakota","2016-11-10T02:00:37Z"
"Aloisius Kalli","tf0hpdmwipp2zj2h","untuk masuk wikipedia","kalau masuk kembali nanti gi mana caranya..?","2016-11-09T10:51:44Z"
"BP09Zahra","tf01dcdxg93tpz4v","hapus akun wikipedia","saya ingin menghapus akun wikipedia saya, bagaimana caranya?","2016-11-09T05:58:26Z"
"Muhammad Nahrowi","texr1ssg5rc48bak","Bagaimana cara membuat halaman profil perusahaan baru ?","Hallo, salam kenal kepada semua rekan wikipedia indonesia, perkenalkan saya M.Nahrowi, saya baru bergabung di wikipedia, saya ingin mendaftarakan informasi mengenai jenis usaha baru kami. bagaimana caranya ya ?  Terimakasih","2016-11-08T05:20:15Z"
"182.253.62.115","tevsf21dtvgat3gd","Kotapinang","Kepada editor wikipedia bahasa indonesia.   Saya seorang siswa yang bertempat tinggal di Kotapinang, Labuhanbatu Selatan. Saat saya mencari artikel mengenai Kotapinang, saya menyadari bahwa hampir semua artikel salah menuliskan nama daerah. 'Kotapinang' seharusnya dituliskan tanpa menggunakan spasi, bukan 'Kota Pinang'. Semoga kesalahan-kesalahan ini dapat segera diperbaiki, karena telah mengganti nama daerah dan mengurangi keakuratan informasi dalam wikipedia.  Terima kasih.","2016-11-07T08:11:57Z"
"Angga anggoro","tethokpj62raf51d","naruto","bagaimana cara membuat wikia naruto","2016-11-06T07:26:19Z"
"Trinanda","tete9j3j0wpc310o","Membuat Biografi","Halo bagaimana cara membuat Biografi sendiri di  Wikipedia? kalau dari persyaratan sudah memenuhi, tapi tidak tahu caranya. Trimakasih","2016-11-06T06:24:57Z"
"Reno Salon","term84bjyp0yqift","Cara Membuat Artikel","Bagaimana cara membuat artikel?","2016-11-05T11:15:02Z"
"Lilisbillyteddyfranko","terexcb4a1brdu4d","bagaimana","Bagaimana cara menulis wikipedia ?","2016-11-05T09:03:58Z"
"K still Alive","terdmit5uec1u41y","apa itu Xi. audio file format","saya menggunakan aplikasi audio 8-bit, kemudian saya lihat ada file dengan format xi. saya ingin mengatahui apa itu Xi. audio file format  {{FlowMention|Kenrick95}},{{FlowMention|Murbaut}} mungkin anda bisa membantu, saya melihat anda banyak memjawab pertanyaan maka dari itu  '''SIAPA SAJA''' '''MOHON BANTUANYA'''","2016-11-05T08:44:58Z"
"Sriyanto spd","ter3rtt565ldmria","menyunting","bagaimana cara menyunting wikipedia agar bisa tersimpan?","2016-11-05T05:43:42Z"
"Iyudi","tenjajcglcp0baz9","materi tentang kalium serum","ko belum saya temukan perihal mengenai pemahasan kalium serum ya..  kalau ada mohon bantuan untuk di tag yah","2016-11-03T15:16:39Z"
"Reno Salon","ten2wfp7y6khux57","membuat buku","saya tidak tahu bagaimana cara menambahkan halaman saat membuat buku.","2016-11-03T10:22:19Z"
"ActionCOACH South Jakarta","temqn79rdpzzjlxf","saya tidak paham bagaimana cara publish page yang sudah saya buat?","Saya sudah coba buat, hasilnya seperti ini.   [[Pengguna:ActionCOACH South Jakarta]]  Bagaimana caranya ya utk publish?","2016-11-03T06:42:14Z"
"GEMAPALA FIB USU","tekjq3zltk80ujc6","saya mau tau sejarah berdirinya mapala","saya mau tau sejarah berdirinya mapala","2016-11-02T07:05:08Z"
"Ahmad Yusuf Y","teiozyduw8wceo1t","Bertanya","ka mau nanya, kalo misalkan kita pengen buat sesuatu yg penting gitu di wikipedia, izin dulu atau engga ya? trus izinnya ke siapa? makasih  saya baru jadi anggota wikipedia","2016-11-01T11:07:44Z"
"Ronald Tarsan","teijsysz3dowtqa5","Ronald Tarsan","Bagaimana cara menulis di Wikipedia?","2016-11-01T09:33:42Z"
"Dery Busaeri, SE","tee6w527ore4v518","sejarah islam","saya suka menulusuri sejarah dunia islam tolong bantu","2016-10-30T10:36:08Z"
"Puck you","tebchhuhp3iu81oy","Apresiasi Kain","adakah artikel tentang apresiasi kain ? misalnya kain satin..","2016-10-29T03:57:16Z"
"202.67.37.46","tea2fyb47pskr0h8","spanduk","saya mau bertanya apa ada yang tau sejarah spanduk","2016-10-28T14:10:31Z"
"Dulhadi.","te7z01eu1zz0sa5g","B","Saya lupa kata sandi","2016-10-27T15:35:51Z"
"114.199.118.42","te5hzxvsfd8i1dmp","TUAN RUMAH PIALA AFF 2016 DAN PEMBAGIAN GRUP SALAH","Tuan rumah Piala AFF Grup A adalah Filipina. Sedangkan, Grup B adalah Myanmar.   Pembagian Grup.  Grup A: Filipina (Tuan Rumah), Indonesia, Thailand, Singapura  Grup B: Myanmar (Tuan Rumah), Malaysia, Vietnam, pemenang kualifikasi.  Demikian koreksi ini saya sampaikan. Terima kasih.","2016-10-26T12:57:41Z"
"Muhammad Javier Raihandaffa","te3lbezaej81nws4","Membuat Artikel/Halaman yang Belum Tersedia","Assalamu'alaikum Warahmatullah Wabarakatuh. Bagaimana cara saya dapat membuat artikel/halaman yang belum tersedia di wikipedia? Terima kasih","2016-10-25T16:24:24Z"
"ShandySheptiana","te3c4w9ltysn3qnx","tolong bantu","bagaiman sih cara untuk melihat penyuntingan hasil saya","2016-10-25T13:39:33Z"
"Azzam aviero","te2zwzur3jmxhy8i","Pembaruan penyuntingan","Mas, saya sudah menambahkan dan menuyuting, tapi kok pas saya cek lagi belum berubahya, mohon infonya? terimakasih...","2016-10-25T10:00:08Z"
"103.241.206.26","te0jhe4jcphvshfx","perbedaan neutron cepat dan neutron termal.","Selamat siang, sy ingin bertanya mengenai perbedaan neutron cepat dan neutron termal?. Mungkin jika ada yang bisa membantu mohon bisa dibagikan informasinya. Terimakasih.","2016-10-24T07:32:11Z"
"Djalilbm","tdyhil2fip6sqr9u","Prof._Andi_Asadul_Islam,_Ph.D,_MD","gimana caranya melanjutkan sampai tuntas?","2016-10-23T09:24:01Z"
"Aulia Rahmadani","tdy6zm8esgtt087z","geografi sosial","kenapa belum ada di tambahkan penjelasan mengenai geografi sosial?","2016-10-23T06:14:59Z"
"120.188.65.56","tdu2n94w1d0qmh8d","kikako","negara ap yang  beriklim sub tropis","2016-10-21T09:51:16Z"
"Religionagamaadrian","tdtc7h5hay63ul1i","tulisan saya hilang ?","mengapa tulisan saya yang belum ada lima belas menit lalu menghilang ?","2016-10-21T01:56:32Z"
"Ninujn","tdrq7afkcx0dhibi","sejarah","Sejarah dan perkembangan musik Singapura","2016-10-20T08:34:58Z"
"Fikrijuliandani","tdponzq2sqz0tr2l","Permintaan penghapusan","Assalamualaikum Wr Wb, saya fikri juliandani dari perusahaan Arsysoft, ingin meminta untuk penghapusan konten. Dulu saya pernah membuat artikel mengenai perusahaan saya (Arsysoft) di wikipedia, namun wikipedia telah menghapusnya, akan tetapi pada search engine google masih terpampang nama Arsysoft dengan catatan penghapusan. Saya minta tolong segera catatan itu dihapus saja ""Nama Arsysoft"" dalam wikipedia. Dan juga penghapusan konten foto logo perusahaan pada wikimedia commons. Terima kasih","2016-10-19T10:34:59Z"
